"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","500","[@smoke@regression]Verify Inventory page test","firefox","Sun Jan 26 20:39:54 UTC 2025","passed","Sun Jan 26 20:39:54 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","5591","[@regression]Login test for user: performance_glitch_user","firefox","Sun Jan 26 20:40:04 UTC 2025","passed","Sun Jan 26 20:40:09 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","672","[@regression]Checkout the form with only last name and postal code input field filled","firefox","Sun Jan 26 20:39:48 UTC 2025","passed","Sun Jan 26 20:39:49 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","708","[@smoke@regression]Verify Login page","firefox","Sun Jan 26 20:39:58 UTC 2025","passed","Sun Jan 26 20:39:59 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","575","[@regression]Attempt to log in with only the password field filled","firefox","Sun Jan 26 20:40:00 UTC 2025","passed","Sun Jan 26 20:40:01 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","832","[@smoke@regression]Verify Inventory page test","webkit","Sun Jan 26 20:40:36 UTC 2025","passed","Sun Jan 26 20:40:37 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","729","[@regression]Checkout the form with last name input field filled with special characters","firefox","Sun Jan 26 20:39:52 UTC 2025","passed","Sun Jan 26 20:39:52 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","641","[@smoke@regression]Filter the products by Name (A to Z)","firefox","Sun Jan 26 20:39:56 UTC 2025","passed","Sun Jan 26 20:39:57 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","895","[@regression]Checkout the form with only first name and postal code input field filled","webkit","Sun Jan 26 20:40:30 UTC 2025","passed","Sun Jan 26 20:40:31 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","650","[@smoke@regression]Filter the products by Price low to high","firefox","Sun Jan 26 20:39:57 UTC 2025","passed","Sun Jan 26 20:39:58 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","397","[@regression]Checkout the form with last name input field filled with special characters","chromium","Sun Jan 26 20:39:30 UTC 2025","passed","Sun Jan 26 20:39:31 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","816","[@smoke@regression]Log in with valid credentials","webkit","Sun Jan 26 20:40:43 UTC 2025","passed","Sun Jan 26 20:40:44 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","349","[@regression]Attempt to log in with only the username field filled","chromium","Sun Jan 26 20:39:36 UTC 2025","passed","Sun Jan 26 20:39:36 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","382","[@smoke@regression]Filter the products by Price high to low","chromium","Sun Jan 26 20:39:34 UTC 2025","passed","Sun Jan 26 20:39:34 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","676","[@smoke@regression]Checkout the form with valid credentials","firefox","Sun Jan 26 20:39:48 UTC 2025","passed","Sun Jan 26 20:39:48 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","699","[@regression]Attempt to log in with special characters in the username field filled","webkit","Sun Jan 26 20:40:46 UTC 2025","passed","Sun Jan 26 20:40:47 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","974","[@smoke@regression]Filter the products by Price high to low","webkit","Sun Jan 26 20:40:42 UTC 2025","passed","Sun Jan 26 20:40:43 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","1003","[@smoke]Verify the cart page is displayed","chromium","Sun Jan 26 20:39:26 UTC 2025","passed","Sun Jan 26 20:39:27 UTC 2025","Cart Page Test","e2e/CartTests.spec.ts","",""
"","508","[@smoke@regression]Attempt to log in with invalid credentials","firefox","Sun Jan 26 20:40:00 UTC 2025","passed","Sun Jan 26 20:40:00 UTC 2025","Login Page Tests","e2e/LoginTests.spec.ts","",""
"","840","[@regression]Login test for user: error_user","webkit","Sun Jan 26 20:40:55 UTC 2025","passed","Sun Jan 26 20:40:56 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","371","[@smoke@regression]Filter the products by Name (A to Z)","chromium","Sun Jan 26 20:39:33 UTC 2025","passed","Sun Jan 26 20:39:34 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","889","[@regression]Login test for user: visual_user","webkit","Sun Jan 26 20:40:56 UTC 2025","passed","Sun Jan 26 20:40:57 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","1067","[@smoke]Verify the footer page are displayed","webkit","Sun Jan 26 20:40:35 UTC 2025","passed","Sun Jan 26 20:40:36 UTC 2025","Footer Page Tests","e2e/FooterTests.spec.ts","",""
"","878","[@smoke@regression]Verify the checkout step one page are displayed","webkit","Sun Jan 26 20:40:27 UTC 2025","passed","Sun Jan 26 20:40:28 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","895","[@regression]Checkout the form missing all input field","webkit","Sun Jan 26 20:40:32 UTC 2025","passed","Sun Jan 26 20:40:33 UTC 2025","Checkout Step One Test","e2e/CheckoutStepOneTests.spec.ts","",""
"","400","[@regression]Login test for user: visual_user","chromium","Sun Jan 26 20:39:43 UTC 2025","passed","Sun Jan 26 20:39:43 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
"","390","[@smoke@regression]Add and remove an item from the cart","chromium","Sun Jan 26 20:39:33 UTC 2025","passed","Sun Jan 26 20:39:33 UTC 2025","Inventory Page Tests","e2e/InventoryTests.spec.ts","",""
"","312","[@smoke@regression]Verify that there are not products in the cart","chromium","Sun Jan 26 20:39:27 UTC 2025","passed","Sun Jan 26 20:39:27 UTC 2025","Cart Page Test","e2e/CartTests.spec.ts","",""
"","377","[@regression]Login test for user: error_user","chromium","Sun Jan 26 20:39:43 UTC 2025","passed","Sun Jan 26 20:39:43 UTC 2025","Login Page Tests > Valid Users Credentials Tests","e2e/LoginTests.spec.ts","",""
